client_id,full_name,jurisdiction,date_of_birth,onboarding_date,client_tier,investable_aum_usd,primary_currency,product_mandate_type,risk_appetite,shariah_compliant_flag,relationship_tenure_months,assigned_rm,co_investment_eligible_flag,last_rebalancing_date,annual_income_usd,total_debt_usd,is_active,exit_date
158,Christopher White,Singapore,1981-04-12,2023-01-20,UHNW,85484029.99,SGD,Advisory,Moderate,False,35,Isabella Cruz,False,,7937512.97,2197643.56,True,
159,Elizabeth Murray,Singapore,1959-12-13,2025-12-25,VHNW,22827713.32,SGD,Discretionary,Conservative,False,0,Ahmad Rizal,False,,1725292.76,5213939.83,True,
160,Michael Martinez,China,1951-02-12,2019-02-28,HNW,2723918.06,CNY,Advisory,Moderate,False,83,David Ng,False,2022-10-18,111645.91,338155.42,True,
161,Joseph Collins,Indonesia,1960-11-13,2023-11-05,VHNW,18988413.64,IDR,Execution-Only,Conservative,False,26,Wei Zhang,False,,1419841.57,2398819.62,True,
162,Michael Fox,Singapore,1962-08-04,2024-08-29,HNW,2006798.95,SGD,Discretionary,Moderate,False,16,David Ng,False,,133607.41,373380.31,True,
163,Patrick Houston,Indonesia,1958-05-11,2024-08-31,HNW,2338944.89,IDR,Advisory,Aggressive,True,16,David Ng,False,2024-11-29,274821.39,204504.35,True,
164,Robert Skinner,Indonesia,1973-02-19,2022-05-29,HNW,3303517.13,IDR,Discretionary,Moderate,True,43,Rajan Pillai,False,,139254.11,720708.54,True,
165,Sara Kelly,Macau,1981-03-21,2022-08-03,HNW,4190742.08,USD,Advisory,Conservative,False,41,David Ng,False,2023-06-14,432175.06,92990.64,True,
166,Tracie Reyes,Brunei,1976-09-02,2025-10-04,HNW,2603220.39,BND,Advisory,Aggressive,False,2,Isabella Cruz,False,2025-12-11,237034.75,66368.01,True,
167,Thomas Kelly,Indonesia,1975-06-26,2025-03-27,VHNW,13875220.49,IDR,Advisory,Conservative,False,9,Rajan Pillai,False,2025-12-17,1199394.37,2394455.4,True,
168,Mason Smith,Singapore,1951-08-04,2021-11-13,HNW,4089368.93,SGD,Advisory,Moderate,False,50,Priya Menon,False,2022-05-07,435539.95,895756.7,True,
169,Ms. Wendy Kelley,China,1978-12-23,2019-02-04,HNW,4137079.99,CNY,Advisory,Conservative,False,84,James Tan,False,,433627.52,142835.09,True,
170,Lisa Price,Indonesia,1983-03-18,2020-09-26,VHNW,21928483.32,IDR,Discretionary,Aggressive,True,64,Wei Zhang,True,2023-01-03,1204113.94,4324129.67,True,
171,Darlene Kline,China,1963-04-09,2018-01-19,VHNW,27077434.36,CNY,Discretionary,Moderate,False,96,Priya Menon,True,,2814975.18,4361273.08,True,
172,Raymond Roberts,China,1970-10-13,2025-03-02,HNW,1455819.88,CNY,Advisory,Moderate,False,10,Chen Jing,False,2025-08-27,156706.53,269630.66,True,
173,Tiffany Patel,Indonesia,1970-02-08,2019-07-03,VHNW,12436120.87,IDR,Advisory,Conservative,True,79,Isabella Cruz,False,2024-03-11,634607.59,1431559.04,True,
174,Bryan Gibbs,China,1960-08-10,2024-03-22,VHNW,22335823.16,CNY,Advisory,Aggressive,False,21,Chen Jing,False,2024-05-15,2594246.8,3247241.74,True,
175,Corey Jordan,China,1976-12-27,2023-07-08,HNW,3246328.31,CNY,Advisory,Moderate,False,30,Isabella Cruz,False,,137867.85,741191.89,True,
176,Christina Berry,China,1985-09-04,2023-07-22,HNW,3150434.47,CNY,Discretionary,Moderate,False,29,Chen Jing,False,2025-01-28,262631.15,715261.64,True,
177,Michelle Rocha,Indonesia,1965-05-28,2025-05-01,HNW,1874167.74,IDR,Discretionary,Moderate,False,8,Priya Menon,False,2025-11-26,140797.96,558853.03,True,
178,Zachary Howard,Indonesia,1977-03-20,2025-12-21,HNW,4242810.87,IDR,Advisory,Moderate,False,0,Isabella Cruz,False,2025-12-21,288787.93,357777.17,True,
179,John Welch,Singapore,1956-03-25,2023-10-09,HNW,3816215.05,SGD,Discretionary,Conservative,False,27,Wei Zhang,False,2024-07-18,366792.16,151913.05,True,
180,Timothy Galvan,China,1967-11-14,2019-08-06,HNW,1990218.96,CNY,Advisory,Moderate,False,77,Priya Menon,False,,143749.66,447681.28,True,
181,Crystal Roberts,Indonesia,1979-11-22,2019-01-17,UHNW,107298260.34,IDR,Advisory,Moderate,True,84,Sofia Lim,True,2023-11-11,8538494.67,10392860.66,True,
182,Charles Davenport,China,1953-01-04,2025-08-27,VHNW,8264856.26,CNY,Execution-Only,Moderate,False,4,Wei Zhang,True,,622367.45,1675.94,True,
183,Cheryl Patrick,Brunei,1967-02-21,2019-10-14,HNW,3754367.53,BND,Discretionary,Moderate,False,75,James Tan,False,2021-08-21,269215.65,344098.2,True,
184,Ariana Roman,Indonesia,1954-03-19,2023-05-08,HNW,3621940.91,IDR,Advisory,Conservative,True,32,Chen Jing,False,,381639.29,1073711.61,True,
185,Theresa Taylor,Singapore,1956-06-12,2019-02-24,HNW,1283313.22,SGD,Discretionary,Moderate,False,83,Wei Zhang,False,,117199.98,260693.69,True,
186,Richard Mcgee,China,1959-07-20,2020-05-22,VHNW,20257980.98,CNY,Discretionary,Moderate,False,68,Priya Menon,True,,1037229.92,748475.0,True,
187,Margaret Martinez,Indonesia,1955-04-18,2025-03-25,HNW,2717554.97,IDR,Advisory,Conservative,True,9,Ahmad Rizal,False,2025-04-07,153367.0,494807.14,True,
188,Patricia Evans,China,1981-07-04,2020-09-07,HNW,3584679.1,CNY,Advisory,Moderate,False,64,Rajan Pillai,False,2021-01-30,398250.54,12976.91,True,
189,Dr. Bryan Powell Jr.,China,1961-08-25,2024-02-16,HNW,2547353.0,CNY,Advisory,Moderate,False,22,Ahmad Rizal,False,,145859.99,705040.54,False,2025-10-09
190,Keith Williamson,Macau,1975-02-21,2022-10-01,HNW,2145951.2,USD,Advisory,Moderate,False,39,Priya Menon,False,2024-04-21,139041.65,329170.48,True,
191,Kelly Martinez,China,1954-05-23,2025-04-15,VHNW,18409754.32,CNY,Discretionary,Moderate,False,8,Priya Menon,True,2025-08-18,2098163.76,640585.34,True,
192,Amber Garcia,Singapore,1958-12-01,2018-02-21,HNW,3664318.32,SGD,Advisory,Conservative,False,95,Rajan Pillai,False,2024-01-03,376101.85,792334.29,True,
193,Daryl Williams,China,1971-07-09,2018-05-01,HNW,4124495.92,CNY,Discretionary,Aggressive,False,93,Priya Menon,False,2024-10-17,328688.53,632015.33,True,
194,Kathleen Miller,China,1957-04-24,2024-06-08,UHNW,58369836.75,CNY,Discretionary,Moderate,False,19,James Tan,False,2025-02-13,4537739.24,6706334.82,True,
195,Colleen Sims,China,1976-04-11,2025-05-09,UHNW,175772483.62,CNY,Advisory,Aggressive,False,7,Priya Menon,True,2025-12-06,15067722.99,6296219.39,True,
196,Rebekah Miranda,Indonesia,1954-08-28,2022-07-01,HNW,1892740.24,IDR,Advisory,Conservative,True,42,Mei Lin,False,2025-08-06,76916.3,113945.51,True,
197,Emily Trujillo,Singapore,1962-12-18,2023-07-14,HNW,3490870.1,SGD,Advisory,Moderate,False,30,David Ng,False,2023-07-20,146312.21,567139.18,True,
198,Christine Gray,Singapore,1969-02-07,2022-03-22,VHNW,5239870.5,SGD,Discretionary,Moderate,False,46,Wei Zhang,False,2022-07-22,507912.16,146234.26,True,
199,Larry Copeland,Macau,1956-09-05,2018-12-14,UHNW,118359067.14,USD,Advisory,Moderate,False,85,David Ng,False,2019-08-26,11006862.32,4641153.26,True,
200,Brandy Ramirez,China,1970-08-09,2021-08-29,UHNW,187427131.8,CNY,Discretionary,Aggressive,False,52,Isabella Cruz,True,,9131042.53,5940938.72,True,
